Nombre,Ap Paterno,Ap Materno,CURP,Fecha Nac,Sexo (M/F),Correo,Calle,No Int,No Ext,Colonia,CP,Ciudad,Estado,Tel�fono,Celular,Foto,No Ctrl,ID Carrera,Plan de estudios,Semestre,Num Familiar,Nombre Familiar,Contrase�a,Activo
Mark,Schneider,Park,3111327,1999-08-15,F,dictum@purusDuis.co.uk,361-6510 Vel Street,948,846,SJ,5053,Curridabat,Şanlıurfa,7206220635,9802784414,jumtest.jpg,10024,adm,elementum  lorem ut aliquam iaculis  lacus pede sagittis augue  eu,1,8260560144,Jin Mathews,eleifend non  dapibus rutrum  justo. Praesent,1
Hanna,Albert,Stanton,2454168,1999-08-16,F,aliquet.odio.Etiam@nequevitae.org,P.O. Box 379  9213 Rhoncus. Av.,538,183,Sam,4146,Samsun,CH,3889236296,9162089532,jumtest.jpg,10025,arq,molestie orci tincidunt adipiscing. Mauris molestie pharetra nibh. Aliquam ornare ,1,2793443348,Selma Atkinson,blandit enim consequat purus. Maecenas libero,1
Sonya,Henson,Schwartz,5732525,1999-08-17,M,vitae.aliquet.nec@ornareFuscemollis.com,Ap #406-9623 Massa Ave,260,562,Murcia,01-233,Murcia,Kansas,9208292174,7357319004,jumtest.jpg,10026,fis,Donec tempus  lorem fringilla ornare placerat  orci lacus vestibulum lorem ,1,3874411272,Francesca Richardson,Etiam ligula tortor  dictum eu  placerat eget ,1
Steven,Grant,Cash,7563689,1999-08-18,F,Ut.tincidunt@orci.net,4821 Cursus Avenue,675,389,PB,88-664,Campina Grande,H,5569952906,6203137349,jumtest.jpg,10027,mer,ipsum leo elementum sem  vitae aliquam eros turpis non enim.,1,4039442737,Raphael Rush,nascetur ridiculus mus. Proin vel nisl. Quisque fringilla,1
Walter,Curry,Pierce,7602405,1999-08-19,F,Fusce.mollis.Duis@Suspendisse.co.uk,5620 Amet Street,216,934,Metropolitana de Santiago,50307,San Pedro,Los Ríos,4054670966,1803687061,jumtest.jpg,10028,isc,sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing,1,3767680248,Rajah Mckinney,mattis velit justo nec ante. Maecenas mi felis ,1
Casey,Valdez,Morris,910106,1999-08-20,F,nec.leo.Morbi@ultrices.co.uk,P.O. Box 634  9838 Pellentesque Street,778,959,Wisconsin,3543,Milwaukee,Noord Holland,6928665076,3740582190,jumtest.jpg,10029,fis,Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla,1,7425216621,Noah Short,morbi tristique senectus et netus et malesuada fames ac,1
Shea,Schroeder,Trevino,2277082,1999-08-21,M,arcu.Nunc@orcisemeget.net,785-3666 Lectus Street,156,679,Hamburg,745784,Hamburg,PD,7547673441,8160377525,jumtest.jpg,10030,for,at sem molestie sodales. Mauris blandit enim consequat purus. Maecenas,1,8638577800,Judah Frye,Lorem ipsum dolor sit amet  consectetuer adipiscing,1
Cooper,Jarvis,Rodriguez,2106250,1999-08-22,M,quam.Pellentesque.habitant@augue.com,9223 Varius Rd.,439,300,Östergötlands län,69726,Linköping,Languedoc-Roussillon,9468125089,7553592933,jumtest.jpg,10031,der,erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat,1,6886681540,Halla Ross,commodo at  libero. Morbi accumsan laoreet,1
Yael,Christensen,Mckinney,6438042,1999-08-23,M,magnis.dis.parturient@lobortisrisusIn.net,924-3281 At  Av.,456,735,L,3595 TS,Dublin,Arkansas,6124436044,7351663552,jumtest.jpg,10032,for,dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit.,1,7143966476,Rina Kent,tincidunt congue turpis. In condimentum. Donec at arcu.,1
Katelyn,Lara,Donaldson,9042653,1999-08-24,F,id.libero@egestasnunc.ca,903-4303 Odio. Rd.,502,256,LOM,51159,Ripalta Guerina,Zl,5937289336,8641690592,jumtest.jpg,10033,ind,Ut semper pretium neque. Morbi quis urna. Nunc quis arcu,1,3240223899,Yolanda Petty,Phasellus vitae mauris sit amet lorem,1
Ainsley,Bond,Hardin,5509810,1999-08-25,F,Donec.tincidunt@molestiedapibus.edu,P.O. Box 726  9440 Convallis Avenue,930,86,San José,81551,Patalillo,IL,1082507334,6883187990,jumtest.jpg,10034,neg,scelerisque mollis. Phasellus libero mauris  aliquam eu  accumsan sed  facilisis,1,748309942,Illana Duke,sagittis. Duis gravida. Praesent eu nulla at sem,1
Kirsten,Mathis,Oneal,1875230,1999-08-26,F,ultrices.iaculis@egestasFuscealiquet.net,P.O. Box 757  7940 Tortor Rd.,439,331,Sokoto,60501,Sokoto,Wie,4899956429,4064829447,jumtest.jpg,10035,for,sed dictum eleifend  nunc risus varius orci  in consequat enim,1,4307298451,Castor Newman,Duis at lacus. Quisque purus sapien  gravida non  sollicitudin,1
Neville,Crosby,Kaufman,3870664,1999-08-27,F,Duis@ligulaNullamenim.com,6997 Nulla. Av.,289,247,HB,XD1 4EL,Bremerhaven,Aquitaine,3798406358,6897169993,jumtest.jpg,10036,fis,est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada,1,1394825572,Ignatius Glass,vestibulum lorem  sit amet ultricies sem magna nec quam. Curabitur,1
Phoebe,Gardner,Nash,7403141,1999-08-28,F,massa.Integer.vitae@Etiambibendum.org,P.O. Box 156  1422 Pharetra Road,806,61,Małopolskie,11526,Tarnów,Ontario,7663624268,5273903936,jumtest.jpg,10037,adm,eu augue porttitor interdum. Sed auctor odio a purus. Duis,1,9791622474,Taylor Cook,ante lectus convallis est  vitae sodales nisi magna sed,1
Zeus,Drake,Hyde,1705281,1999-08-29,M,Proin@liberoDonecconsectetuer.com,548-4215 Donec St.,314,29,Gävleborgs län,2557,Söderhamn,WV,5509059658,7348655920,jumtest.jpg,10038,adm,nunc id enim. Curabitur massa. Vestibulum accumsan neque et nunc.,1,2696548251,Willow Key,non nisi. Aenean eget metus. In nec orci.,1
Ferris,Cannon,Pruitt,9891252,1999-08-30,F,sapien.Cras.dolor@ligula.net,2126 Vitae St.,156,779,Ov,AC9Q 2WM,Oldenzaal,Victoria,2001718487,7457842016,jumtest.jpg,10039,for,semper egestas  urna justo faucibus lectus  a sollicitudin orci sem,1,3812257113,Gray Bell,orci lobortis augue scelerisque mollis. Phasellus libero,1
Yardley,Rosales,Wyatt,934215,1999-08-31,M,dolor@eratEtiam.org,1432 Id Road,867,41,KY,Y34 0PF,Frankfort,Zeeland,1340317507,1685597559,jumtest.jpg,10040,for,eu dui. Cum sociis natoque penatibus et magnis dis parturient,1,7684417006,Carlos Boyd,vulputate dui  nec tempus mauris erat eget ipsum. Suspendisse,1
Tanya,Russo,Morton,9465021,1999-09-01,F,justo.sit@consectetuercursus.edu,Ap #609-4344 Dictum St.,736,256,Catalunya,5447,Lleida,Aquitaine,2465678922,7662339640,jumtest.jpg,10041,mer,tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem,1,525338477,Shaeleigh Neal,a odio semper cursus. Integer mollis. Integer,1
Avye,Brock,Acevedo,3984528,1999-09-02,M,ipsum.primis.in@vehicula.co.uk,474-812 Lectus. Rd.,715,603,Connacht,76707,Galway,SJ,4597369669,3024340096,jumtest.jpg,10042,anim,vitae odio sagittis semper. Nam tempor diam dictum sapien. Aenean,1,8515576662,Felix Marshall,nec tempus scelerisque  lorem ipsum sodales,1
Wendy,David,Carter,5785892,1999-09-03,M,justo.sit.amet@Nulla.com,5620 Proin Rd.,517,272,OV,920472,Wondelgem,Şanlıurfa,7735896753,8726359203,jumtest.jpg,10043,adm,nostra  per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet,1,1718530309,Sylvia Nichols,Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna. Sed,1
Cain,Smith,Wong,7727963,1999-09-04,F,purus.mauris.a@faucibus.ca,901-1067 Sit St.,922,21,Heredia,G8C 6X1,San Francisco,Ulster,6656119621,826435402,jumtest.jpg,10044,adm,gravida. Praesent eu nulla at sem molestie sodales. Mauris blandit,1,2111173899,Chaney Cherry,aliquet  sem ut cursus luctus  ipsum leo elementum,1
Sean,Lindsey,Mcgowan,6778556,1999-09-05,M,Nunc.ullamcorper@risus.org,4358 Feugiat Ave,2,881,Minas Gerais,83223,Belo Horizonte,Hampshire,7127073904,6836103638,jumtest.jpg,10045,ind,Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius.,1,3430600246,Michael Daniels,accumsan laoreet ipsum. Curabitur consequat  lectus,1
Eve,Montoya,Harrell,4402660,1999-09-06,F,amet@disparturient.org,1706 Nec  Street,221,865,Vienna,27915,Vienna,South Australia,153746552,7833711709,jumtest.jpg,10046,isc,nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis,1,3832810190,Mark Richardson,eu  euismod ac  fermentum vel  mauris. Integer sem elit ,1
Rae,Ramirez,Herrera,2009046,1999-09-07,M,sit.amet.faucibus@molestieorci.com,P.O. Box 808  3757 Pede Street,948,388,F,4576,Jönköping,Luxemburg,6777488656,7905309038,jumtest.jpg,10047,fis,arcu. Vivamus sit amet risus. Donec egestas. Aliquam nec enim.,1,3332215680,Barrett Harrison,tellus. Suspendisse sed dolor. Fusce mi lorem  vehicula,1
Melyssa,Crawford,Santos,4268040,1999-09-08,M,vitae@parturient.co.uk,Ap #313-5310 Vitae Avenue,569,575,Buckinghamshire,31-513,Milton Keynes,Noord Holland,3374692222,8915615788,jumtest.jpg,10048,isc,nec  diam. Duis mi enim  condimentum eget  volutpat ornare  facilisis,1,4613136521,Alma White,Etiam ligula tortor  dictum eu  placerat,1
Ivan,Robinson,Small,5771814,1999-09-09,M,eu.placerat.eget@Namnulla.ca,318-9840 Nascetur Av.,239,98,Michigan,5738 PP,Lansing,San José,9090496335,4345248114,jumtest.jpg,10049,for,euismod urna. Nullam lobortis quam a felis ullamcorper viverra. Maecenas,1,8840006526,Sandra Johnson,Praesent eu nulla at sem molestie sodales.,1
Alisa,Whitaker,Holcomb,6671743,1999-09-10,M,Phasellus.libero@mauris.edu,776-8603 Rhoncus. Av.,70,387,Hamburg,17-703,Hamburg,Wie,2456787484,3851304345,jumtest.jpg,10050,for,leo. Morbi neque tellus  imperdiet non  vestibulum nec  euismod in ,1,1336211481,Levi Leon,nunc. In at pede. Cras vulputate,1
Dawn,Atkins,Kidd,6957872,1999-09-11,F,posuere.at@duiSuspendisseac.org,Ap #586-5695 Ornare  Av.,459,824,SI,50106,Westport,CV,7427860121,7828153086,jumtest.jpg,10051,arq,Morbi neque tellus  imperdiet non  vestibulum nec  euismod in  dolor.,1,7898057312,Stella Miranda,dictum placerat  augue. Sed molestie. Sed id risus quis diam,1
Darius,Strickland,Stanton,4401435,1999-09-12,F,Sed@dolorsitamet.org,5661 Neque St.,867,20,NI,96064,Seevetal,North Rhine-Westphalia,6910817349,4196931924,jumtest.jpg,10052,ind,dui  in sodales elit erat vitae risus. Duis a mi,1,7337656590,Nolan Contreras,consequat nec  mollis vitae  posuere at  velit. Cras lorem lorem ,1
Mohammad,Ward,Lyons,548730,1999-09-13,M,id.enim@dictumeleifend.ca,P.O. Box 710  5400 Proin Road,963,691,Vienna,K9H 9A8,Vienna,Manitoba,7148788809,2498823498,jumtest.jpg,10053,arq,Nunc lectus pede  ultrices a  auctor non  feugiat nec  diam.,1,6334752706,Bevis Hardy,et magnis dis parturient montes  nascetur,1
Hakeem,Graves,Henderson,2778311,1999-09-14,M,et.ultrices.posuere@aliquamenimnec.com,275 Arcu Road,189,487,Berlin,143377,Berlin,IL,2683999997,3782064513,jumtest.jpg,10054,fis,nisi magna sed dui. Fusce aliquam  enim nec tempus scelerisque ,1,5024526655,Callum Dotson,cursus. Nunc mauris elit  dictum eu  eleifend nec ,1
Bertha,Nolan,Boyer,4616553,1999-09-15,F,sodales.elit@miacmattis.co.uk,4864 Vivamus Avenue,956,456,QC,242337,Labrecque,Dalarnas län,3441986381,3783394043,jumtest.jpg,10055,neg,ornare lectus justo eu arcu. Morbi sit amet massa. Quisque,1,6378716692,Bernard Moreno,ante bibendum ullamcorper. Duis cursus  diam at pretium,1
Suki,Lee,Gordon,3003608,1999-09-16,F,eu@mitempor.edu,Ap #530-7331 Enim. Rd.,270,956,Andalucía,33765-235,Marbella,ON,2434700117,2210058460,jumtest.jpg,10056,mer,cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam,1,3005854273,Scarlet Gallegos,ipsum. Curabitur consequat  lectus sit amet luctus vulputate  nisi,1
Serina,Burt,Jordan,1259352,1999-09-17,M,elit.Etiam.laoreet@quamCurabitur.com,Ap #754-2747 Eget Ave,389,57,RJ,951741,Petrópolis,BE,1939089687,984604150,jumtest.jpg,10057,arq,interdum ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt,1,5580993503,Moses Perry,cursus. Nunc mauris elit  dictum eu  eleifend nec ,1
Myles,Langley,Tucker,8741975,1999-09-18,M,et@ultrices.com,307-9391 Aenean St.,796,69,Vienna,08643-423,Vienna,São Paulo,7182353279,4737570890,jumtest.jpg,10058,adm,non  vestibulum nec  euismod in  dolor. Fusce feugiat. Lorem ipsum,1,3949289308,Derek Harrington,Cras eget nisi dictum augue malesuada malesuada.,1
Morgan,Montoya,Lambert,4894182,1999-09-19,F,cursus@quis.co.uk,419-5757 Vestibulum St.,622,347,NA,30376,Auldearn,Monmouthshire,455965446,92350814,jumtest.jpg,10059,fis,lorem  eget mollis lectus pede et risus. Quisque libero lacus ,1,7690651563,Chancellor Oneill,fringilla mi lacinia mattis. Integer eu lacus.,1
Ori,Kelley,Weiss,1813147,1999-09-20,F,dictum.sapien@semvitae.org,808-9213 Erat. Street,13,776,BE,2738,Duns,Ontario,165961122,8260510464,jumtest.jpg,10060,ind,risus. Nulla eget metus eu erat semper rutrum. Fusce dolor,1,2778524170,Wynne Kirkland,tempor bibendum. Donec felis orci  adipiscing non  luctus sit,1
Brenna,Warren,Odonnell,8982599,1999-09-21,F,non@bibendumsedest.co.uk,967-682 Ante. Rd.,82,676,NSW,96-876,Wagga Wagga,Maine,174770069,6582877478,jumtest.jpg,10061,der,Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi,1,310519871,Reece Murphy,sed pede nec ante blandit viverra. Donec tempus  lorem,1
Emma,Hutchinson,Harding,2394117,1999-09-22,M,nibh.dolor.nonummy@pharetrautpharetra.edu,Ap #806-8590 At Av.,355,989,SC,307325,Itajaí,KS,2978475507,8334198452,jumtest.jpg,10062,anim,Mauris blandit enim consequat purus. Maecenas libero est  congue a ,1,9694612488,Axel Vargas,velit. Pellentesque ultricies dignissim lacus. Aliquam,1
Cecilia,Eaton,Sheppard,5324542,1999-09-23,F,elementum.purus.accumsan@eudolor.co.uk,308 Laoreet  St.,825,266,Vienna,77751-269,Vienna,Małopolskie,9455814388,2728244429,jumtest.jpg,10063,mer,Ut sagittis lobortis mauris. Suspendisse aliquet molestie tellus. Aenean egestas,1,3942885950,Kylynn Cummings,Fusce feugiat. Lorem ipsum dolor sit amet  consectetuer adipiscing,1
Shelley,Rose,Mcfarland,9654480,1999-09-24,F,sed.consequat@etmagnisdis.net,9142 Lectus St.,609,370,San José,2286,Patalillo,Noord Brabant,3240411538,2698129487,jumtest.jpg,10064,mer,nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis,1,9985995977,Curran Barron,sed  sapien. Nunc pulvinar arcu et pede. Nunc,1
Arden,Stein,Quinn,9169770,1999-09-25,M,scelerisque.dui.Suspendisse@mollis.ca,5867 Lorem  Ave,126,757,Ank,97102-209,Şereflikoçhisar,Konya,2228894001,5943886021,jumtest.jpg,10065,neg,pellentesque a  facilisis non  bibendum sed  est. Nunc laoreet lectus,1,3065483436,Indigo Hooper,habitant morbi tristique senectus et netus,1
Clare,Leblanc,Flynn,7237999,1999-09-26,M,at@imperdietnonvestibulum.net,110-5555 Penatibus Street,222,375,Metropolitana de Santiago,4793,Alhué,Ist,5865647543,252651678,jumtest.jpg,10066,for,semper rutrum. Fusce dolor quam  elementum at  egestas a  scelerisque,1,4372412633,Hoyt Mccullough,sociis natoque penatibus et magnis dis,1
Malcolm,Gardner,Kirby,4497049,1999-09-27,M,aliquet.sem@Phasellus.ca,5884 Quisque Rd.,387,528,QLD,2769,Gold Coast,São Paulo,2888061096,5294257806,jumtest.jpg,10067,fis,ultricies ligula. Nullam enim. Sed nulla ante  iaculis nec  eleifend,1,3180044042,Sarah Calderon,adipiscing lobortis risus. In mi pede  nonummy ut  molestie,1
Regan,Marsh,Conrad,2877166,1999-09-28,F,eget@Pellentesquetincidunt.co.uk,P.O. Box 219  2413 Egestas Rd.,548,105,Wie,65171,Vienna,Munster,7001438999,4530783658,jumtest.jpg,10068,isc,fringilla ornare placerat  orci lacus vestibulum lorem  sit amet ultricies,1,649043858,Aquila Dale,ac facilisis facilisis  magna tellus faucibus,1
Zena,Glover,Herring,4306568,1999-09-29,M,Maecenas@Nullamlobortis.org,895-9214 Neque. Avenue,681,539,Connacht,E1R 3W8,Galway,Maryland,2949417087,1829565563,jumtest.jpg,10069,der,diam. Pellentesque habitant morbi tristique senectus et netus et malesuada,1,8609231049,Nyssa Jimenez,lectus ante dictum mi  ac mattis velit,1
Nero,Vang,Alvarez,8601799,1999-09-30,M,molestie@ornare.org,6546 Orci. Road,383,382,ON,14508,Kingston,CA,4644899402,3591683040,jumtest.jpg,10070,arq,sollicitudin adipiscing ligula. Aenean gravida nunc sed pede. Cum sociis,1,2345100259,Bernard Lee,vel  faucibus id  libero. Donec consectetuer mauris,1
Ann,Ryan,Walsh,2896715,1999-10-01,F,molestie.in.tempus@volutpatnuncsit.net,Ap #709-415 Lorem  Rd.,813,475,Indiana,1603 FL,South Bend,LA,9460499948,9197736732,jumtest.jpg,10071,der,vel  vulputate eu  odio. Phasellus at augue id ante dictum,1,5425768484,Ann Goodwin,magnis dis parturient montes  nascetur ridiculus mus. Proin,1
Jerry,Cameron,Avila,5158832,1999-10-02,F,Sed@arcuet.ca,P.O. Box 880  6948 Sed Street,779,721,G,51013,Liberia,TAA,593360385,9410516710,jumtest.jpg,10072,neg,fringilla ornare placerat  orci lacus vestibulum lorem  sit amet ultricies,1,3111165639,Drake Riley,cursus et  eros. Proin ultrices. Duis volutpat nunc sit amet,1
Ulysses,Sheppard,Crosby,2367875,1999-10-03,F,vestibulum.nec.euismod@MorbivehiculaPellentesque.ca,1526 Donec Road,39,827,Balıkesir,97129,Edremit,ON,9602686063,7015331286,jumtest.jpg,10073,adm,malesuada. Integer id magna et ipsum cursus vestibulum. Mauris magna.,1,3790465029,Clarke Leblanc,ipsum sodales purus  in molestie tortor nibh sit amet orci.,1
Victor,Quinn,Mccarthy,1025959,1999-10-04,M,neque.et@temporlorem.org,P.O. Box 299  8140 Urna  Av.,568,432,Lubelskie,45506-895,Chełm,Västra Götalands län,9449407969,7928479001,jumtest.jpg,10074,ind,nunc  ullamcorper eu  euismod ac  fermentum vel  mauris. Integer sem,1,5084037333,Tate Lee,tempor  est ac mattis semper  dui lectus,1
